rank,content_id,client_id,model_score,suggested_action,reason_codes,stale_but_visible,model_decline_risk_high,ctr_underperforming_for_position,recent_click_drop,syndicated_not_owned,too_new_unstable,needs_verification_before_trusting,content_type,main_intent,impressions_90d,clicks_90d,avg_position,ctr,days_since_last_update,content_age_days,trend_direction
11721,content_67e912e3e2b5,client_4e07408562,0.5906312441640562,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,1209,1,16.0,0.08,13,504,stable
11722,content_fabab9695b31,client_3fdba35f04,0.5906162971102301,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,1479,0,19.8,0.0,20,117,down
11723,content_36e4d32e4072,client_19581e27de,0.5906067701065297,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,informational,517,1,34.9,0.19,104,313,up
11724,content_5f74e54d3356,client_f74efabef1,0.5906035327866591,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,282,0,33.6,0.0,20,112,down
11725,content_b406d4bb3947,client_d4735e3a26,0.59058851208667,monitor_not_owned,recent_click_drop|syndicated_not_owned,False,False,False,True,True,False,False,feedly article,unknown,53,2,6.9,3.77,20,286,down
11726,content_08e6616dbe13,client_19581e27de,0.5905791481808801,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,commercial,483,0,46.4,0.0,104,313,up
11727,content_02141810795a,client_4e07408562,0.5905571536236247,monitor,ctr_underperforming_for_position,False,False,True,False,False,False,False,keyword article,informational,1912,1,16.3,0.05,13,487,down
11728,content_478f9d462947,client_19581e27de,0.5905517002873757,refresh_review_routine,stale_but_visible|recent_click_drop,True,False,False,True,False,False,False,keyword article,transactional,4585,16,10.9,0.35,104,362,up
11729,content_6b86711d8ef0,client_bbb965ab0c,0.5905428844586387,monitor,recent_click_drop,False,False,False,True,False,False,False,keyword article,informational,420,1,34.7,0.24,8,140,down
11730,content_08eb54be7780,client_19581e27de,0.5905359659145116,refresh_review_routine,stale_but_visible,True,False,False,False,False,False,False,keyword article,transactional,4269,21,4.5,0.49,104,330,down
